session_id,user_id,workflow_type,task_id,duration_s,app_switches_per_min,backtrack_rate,repeated_action_ratio,correction_rate,hesitation_ms_p50,idle_ratio,navigation_efficiency,action_sequence_entropy,workflow_repeat_count,predictable_sequence_score,completion_success,friction_score,focus_score,automation_potential,model_confidence,behavior_label,data_origin
syn_00018,bootstrap_user_06,deep_work,deep_work_018,1309.5,0.475,0.0621,0.041,0.0189,302.1,0.0835,0.7256,0.6684,3,0.1938,True,0.1685,0.741,0.246,0.6057,focused_or_low_friction,synthetic_bootstrap
syn_00019,bootstrap_user_07,research_browsing,research_browsing_019,1931.7,2.663,0.3194,0.2143,0.0829,755.5,0.126,0.7025,0.7561,2,0.2926,True,0.3507,0.6226,0.3407,0.5974,moderate_friction,synthetic_bootstrap
syn_00020,bootstrap_user_08,coding_debugging,coding_debugging_020,507.4,3.287,0.5258,0.3402,0.4427,802.2,0.0169,0.4071,0.7455,2,0.292,True,0.4421,0.5877,0.3211,0.5985,high_friction,synthetic_bootstrap
syn_00021,bootstrap_user_09,coding_debugging,coding_debugging_021,1779.4,1.232,0.3757,0.1915,0.3546,1065.3,0.1371,0.71,0.6048,4,0.3006,True,0.4512,0.6584,0.3777,0.6626,high_friction,synthetic_bootstrap
syn_00022,bootstrap_user_10,repetitive_admin,repetitive_admin_022,293.4,1.85,0.1723,0.7423,0.126,374.2,0.0078,0.827,0.243,9,0.8082,True,0.1315,0.8482,0.6301,0.9229,focused_or_low_friction,synthetic_bootstrap
syn_00023,bootstrap_user_11,research_browsing,research_browsing_023,803.9,3.364,0.3651,0.1408,0.1198,80.0,0.1081,0.5424,0.7345,3,0.2609,True,0.2779,0.5315,0.2875,0.6146,focused_or_low_friction,synthetic_bootstrap
syn_00024,bootstrap_user_12,research_browsing,research_browsing_024,1830.5,0.679,0.151,0.148,0.1872,819.1,0.0821,0.7365,0.7408,3,0.1369,True,0.299,0.7058,0.2755,0.5828,focused_or_low_friction,synthetic_bootstrap
syn_00025,bootstrap_user_01,coding_debugging,coding_debugging_025,1224.8,1.755,0.3409,0.1817,0.362,895.0,0.097,0.5614,0.7352,3,0.7087,False,0.4305,0.6926,0.4497,0.7264,moderate_friction,synthetic_bootstrap
syn_00026,bootstrap_user_02,repetitive_admin,repetitive_admin_026,492.7,3.904,0.0595,0.6667,0.0598,464.2,0.0448,0.7524,0.3887,11,0.8471,True,0.2662,0.7552,0.6406,0.9151,focused_or_low_friction,synthetic_bootstrap
syn_00027,bootstrap_user_03,support_lookup,support_lookup_027,228.7,4.499,0.2423,0.7383,0.1242,625.3,0.0619,0.5926,0.3313,7,0.7865,True,0.2993,0.6676,0.5946,0.8844,focused_or_low_friction,synthetic_bootstrap
syn_00028,bootstrap_user_04,deep_work,deep_work_028,1676.6,1.02,0.0261,0.0198,0.0726,587.5,0.1475,0.8826,0.5332,1,0.3808,True,0.1962,0.7064,0.2872,0.6237,focused_or_low_friction,synthetic_bootstrap
syn_00029,bootstrap_user_05,deep_work,deep_work_029,2010.2,1.172,0.0397,0.1224,0.0,338.1,0.059,0.7384,0.6966,1,0.0789,True,0.1476,0.7642,0.1969,0.5286,focused_or_low_friction,synthetic_bootstrap
syn_00030,bootstrap_user_06,coding_debugging,coding_debugging_030,1113.5,1.945,0.3133,0.2525,0.2745,380.6,0.0261,0.5458,0.7192,2,0.5075,True,0.2871,0.6914,0.3988,0.6556,focused_or_low_friction,synthetic_bootstrap
syn_00031,bootstrap_user_07,coding_debugging,coding_debugging_031,1246.2,3.891,0.2064,0.2327,0.3426,773.9,0.075,0.4396,0.6689,1,0.1783,True,0.3876,0.6079,0.3434,0.5568,moderate_friction,synthetic_bootstrap
syn_00032,bootstrap_user_08,research_browsing,research_browsing_032,898.1,2.714,0.0528,0.1405,0.1199,831.5,0.0743,0.7062,0.6787,0,0.3852,True,0.246,0.7261,0.3219,0.5848,focused_or_low_friction,synthetic_bootstrap
syn_00033,bootstrap_user_09,repetitive_admin,repetitive_admin_033,413.9,1.005,0.0,0.7355,0.0657,236.2,0.052,0.7504,0.3744,9,0.9583,True,0.1374,0.8421,0.6291,0.9446,focused_or_low_friction,synthetic_bootstrap
syn_00034,bootstrap_user_10,repetitive_admin,repetitive_admin_034,842.2,3.575,0.1428,0.783,0.1551,483.0,0.0018,0.8663,0.2459,8,0.7577,True,0.2554,0.8252,0.7024,0.9099,automation_candidate,synthetic_bootstrap
syn_00035,bootstrap_user_11,support_lookup,support_lookup_035,452.5,6.679,0.1837,0.6283,0.0913,719.1,0.0501,0.6179,0.4676,5,0.7862,True,0.4288,0.6473,0.6033,0.8229,moderate_friction,synthetic_bootstrap
syn_00036,bootstrap_user_12,repetitive_admin,repetitive_admin_036,639.3,2.354,0.1342,0.6068,0.0709,480.4,0.0531,0.6129,0.1485,2,0.8993,False,0.2998,0.7391,0.6033,0.822,focused_or_low_friction,synthetic_bootstrap
syn_00037,bootstrap_user_01,deep_work,deep_work_037,2268.2,0.105,0.0648,0.2376,0.1175,214.4,0.1044,0.649,0.6577,3,0.3522,True,0.2197,0.7462,0.3801,0.6466,focused_or_low_friction,synthetic_bootstrap
syn_00038,bootstrap_user_02,support_lookup,support_lookup_038,347.4,5.598,0.2386,0.6545,0.1145,477.3,0.0236,0.5645,0.329,7,0.9341,True,0.3686,0.6907,0.6351,0.9215,moderate_friction,synthetic_bootstrap
syn_00039,bootstrap_user_03,repetitive_admin,repetitive_admin_039,509.2,2.956,0.1993,0.7963,0.0324,401.0,0.0994,0.7237,0.3248,10,0.7771,True,0.2202,0.6892,0.706,0.9053,automation_candidate,synthetic_bootstrap
syn_00040,bootstrap_user_04,coding_debugging,coding_debugging_040,1260.5,1.926,0.3291,0.234,0.3013,950.8,0.0636,0.6144,0.6888,0,0.2911,True,0.395,0.6498,0.2763,0.5601,moderate_friction,synthetic_bootstrap
syn_00041,bootstrap_user_05,support_lookup,support_lookup_041,248.8,6.173,0.1651,0.7899,0.1276,604.8,0.0199,0.7538,0.3232,9,0.7086,True,0.3019,0.6968,0.658,0.8884,moderate_friction,synthetic_bootstrap
syn_00042,bootstrap_user_06,research_browsing,research_browsing_042,1216.8,2.286,0.3645,0.2639,0.062,775.1,0.0729,0.4378,0.8827,0,0.4112,True,0.3565,0.6009,0.3369,0.5669,moderate_friction,synthetic_bootstrap
syn_00043,bootstrap_user_07,coding_debugging,coding_debugging_043,728.1,2.846,0.2925,0.1144,0.283,1139.1,0.1838,0.6889,0.601,3,0.5391,True,0.4058,0.5721,0.3729,0.7002,moderate_friction,synthetic_bootstrap
syn_00044,bootstrap_user_08,repetitive_admin,repetitive_admin_044,328.7,1.302,0.1404,0.7423,0.1023,206.1,0.0694,0.9249,0.2878,8,0.8847,True,0.1045,0.8288,0.6038,0.9366,focused_or_low_friction,synthetic_bootstrap
syn_00045,bootstrap_user_09,research_browsing,research_browsing_045,1076.5,2.945,0.3413,0.3241,0.1224,567.1,0.2346,0.5287,0.7543,0,0.4675,True,0.4342,0.4278,0.4068,0.5964,moderate_friction,synthetic_bootstrap
syn_00046,bootstrap_user_10,coding_debugging,coding_debugging_046,1131.6,2.925,0.0987,0.3868,0.3787,769.9,0.1323,0.5258,0.6621,2,0.1606,True,0.4065,0.5815,0.3798,0.5757,moderate_friction,synthetic_bootstrap
syn_00047,bootstrap_user_11,repetitive_admin,repetitive_admin_047,380.2,3.528,0.0823,0.614,0.1221,371.7,0.1107,0.7442,0.1874,13,0.9105,True,0.2513,0.6992,0.6931,0.9551,automation_candidate,synthetic_bootstrap
syn_00048,bootstrap_user_12,repetitive_admin,repetitive_admin_048,394.3,1.909,0.1042,0.8804,0.0895,205.0,0.0033,0.8898,0.271,5,0.8381,True,0.1662,0.8645,0.6534,0.8595,focused_or_low_friction,synthetic_bootstrap
syn_00049,bootstrap_user_01,coding_debugging,coding_debugging_049,1123.2,3.487,0.3082,0.3253,0.3719,942.1,0.1174,0.5844,0.9115,1,0.4206,True,0.4517,0.536,0.391,0.5883,high_friction,synthetic_bootstrap
syn_00050,bootstrap_user_02,deep_work,deep_work_050,1715.6,0.088,0.0805,0.062,0.0033,474.6,0.0995,0.8621,0.7367,0,0.1867,True,0.1308,0.7689,0.1915,0.5283,focused_or_low_friction,synthetic_bootstrap
syn_00051,bootstrap_user_03,repetitive_admin,repetitive_admin_051,432.0,2.567,0.1537,0.7364,0.0621,243.5,0.058,0.6309,0.3227,19,0.968,True,0.2134,0.7025,0.69,0.9533,automation_candidate,synthetic_bootstrap
syn_00052,bootstrap_user_04,deep_work,deep_work_052,2441.4,0.445,0.045,0.1367,0.0369,229.2,0.078,0.7487,0.6059,1,0.4127,True,0.1652,0.7829,0.3046,0.623,focused_or_low_friction,synthetic_bootstrap
syn_00053,bootstrap_user_05,coding_debugging,coding_debugging_053,974.8,2.623,0.3535,0.2253,0.3081,576.7,0.057,0.6946,0.7645,3,0.4593,True,0.3509,0.6827,0.4187,0.6606,moderate_friction,synthetic_bootstrap
syn_00054,bootstrap_user_06,coding_debugging,coding_debugging_054,1054.6,3.448,0.3051,0.3032,0.3282,844.2,0.0632,0.6871,1.0,2,0.4299,True,0.3804,0.6348,0.3677,0.6025,moderate_friction,synthetic_bootstrap
syn_00055,bootstrap_user_07,coding_debugging,coding_debugging_055,886.7,0.771,0.1967,0.0692,0.3632,1507.9,0.0817,0.4267,0.81,1,0.6019,True,0.3861,0.6496,0.3564,0.6458,moderate_friction,synthetic_bootstrap
syn_00056,bootstrap_user_08,coding_debugging,coding_debugging_056,997.7,1.753,0.2581,0.1128,0.3397,315.5,0.0778,0.6935,0.7503,3,0.4109,True,0.3102,0.689,0.3747,0.6502,moderate_friction,synthetic_bootstrap
syn_00057,bootstrap_user_09,support_lookup,support_lookup_057,335.0,3.773,0.0725,0.6746,0.1373,716.3,0.0319,0.5694,0.4106,6,0.6014,True,0.2654,0.6993,0.5663,0.8061,focused_or_low_friction,synthetic_bootstrap
syn_00058,bootstrap_user_10,support_lookup,support_lookup_058,442.5,2.841,0.1536,0.6255,0.1991,431.3,0.0457,0.8149,0.3188,9,0.6423,False,0.3028,0.7462,0.5651,0.8723,moderate_friction,synthetic_bootstrap
syn_00059,bootstrap_user_11,deep_work,deep_work_059,2219.6,0.778,0.064,0.0901,0.079,504.2,0.1193,0.61,0.5968,2,0.3381,True,0.2431,0.6898,0.2885,0.6279,focused_or_low_friction,synthetic_bootstrap
syn_00060,bootstrap_user_12,deep_work,deep_work_060,1677.2,1.317,0.0434,0.145,0.0992,730.9,0.068,0.8967,0.8032,1,0.3247,True,0.1946,0.771,0.2933,0.5773,focused_or_low_friction,synthetic_bootstrap
syn_00061,bootstrap_user_01,coding_debugging,coding_debugging_001,1205.9,1.187,0.1736,0.4543,0.2822,578.6,0.1716,0.641,0.7778,2,0.3754,True,0.2975,0.5986,0.4102,0.6155,focused_or_low_friction,synthetic_bootstrap
syn_00062,bootstrap_user_02,support_lookup,support_lookup_002,445.0,4.403,0.0,0.6078,0.247,675.9,0.0357,0.7191,0.2784,2,0.7552,True,0.2814,0.729,0.5292,0.7704,focused_or_low_friction,synthetic_bootstrap
syn_00063,bootstrap_user_03,support_lookup,support_lookup_003,219.2,4.774,0.0828,0.7128,0.0508,815.7,0.0085,0.5507,0.4059,11,0.8215,True,0.2855,0.689,0.6417,0.9067,focused_or_low_friction,synthetic_bootstrap
syn_00064,bootstrap_user_04,coding_debugging,coding_debugging_004,554.6,1.049,0.3242,0.1277,0.332,441.5,0.1148,0.5562,0.8607,3,0.593,True,0.3114,0.5954,0.3187,0.6825,moderate_friction,synthetic_bootstrap
syn_00065,bootstrap_user_05,coding_debugging,coding_debugging_005,982.1,1.547,0.1463,0.0986,0.066,505.3,0.1314,0.4342,0.5832,5,0.3309,True,0.2975,0.6377,0.3172,0.6952,focused_or_low_friction,synthetic_bootstrap
syn_00066,bootstrap_user_06,support_lookup,support_lookup_006,236.9,2.358,0.3757,0.4127,0.0576,332.7,0.0151,0.7953,0.6265,5,0.658,True,0.2264,0.742,0.3978,0.7718,focused_or_low_friction,synthetic_bootstrap
syn_00067,bootstrap_user_07,support_lookup,support_lookup_007,282.1,4.774,0.2058,0.5789,0.0549,639.8,0.0604,0.7488,0.4469,2,0.6466,True,0.272,0.6903,0.4618,0.723,focused_or_low_friction,synthetic_bootstrap
syn_00068,bootstrap_user_08,repetitive_admin,repetitive_admin_008,584.9,3.596,0.1325,0.864,0.0988,388.9,0.0944,0.7504,0.2496,5,0.9162,True,0.2676,0.7386,0.6297,0.8816,focused_or_low_friction,synthetic_bootstrap
syn_00069,bootstrap_user_09,deep_work,deep_work_009,1772.3,0.782,0.0437,0.3407,0.0867,376.6,0.081,0.6598,0.604,2,0.2745,True,0.2181,0.7699,0.3632,0.6112,focused_or_low_friction,synthetic_bootstrap
syn_00070,bootstrap_user_10,support_lookup,support_lookup_010,214.5,4.013,0.1157,0.4907,0.0578,408.8,0.029,0.5036,0.3841,7,0.9601,True,0.2555,0.7081,0.5564,0.9214,focused_or_low_friction,synthetic_bootstrap
syn_00071,bootstrap_user_11,repetitive_admin,repetitive_admin_011,531.7,3.975,0.1396,0.6893,0.0657,202.2,0.0258,0.684,0.1676,10,0.9557,True,0.2347,0.7475,0.712,0.9688,automation_candidate,synthetic_bootstrap
syn_00072,bootstrap_user_12,support_lookup,support_lookup_012,191.0,5.022,0.1257,0.7515,0.0977,403.1,0.0224,0.6853,0.4585,7,1.0,True,0.2334,0.6945,0.6516,0.9225,focused_or_low_friction,synthetic_bootstrap
syn_00073,bootstrap_user_01,research_browsing,research_browsing_013,931.0,4.283,0.2525,0.2005,0.1343,1029.0,0.1185,0.5664,0.9207,3,0.2615,True,0.3958,0.5304,0.306,0.5924,moderate_friction,synthetic_bootstrap
syn_00074,bootstrap_user_02,repetitive_admin,repetitive_admin_014,188.6,2.313,0.0621,0.6427,0.1054,358.0,0.0559,0.6298,0.2338,10,0.9076,True,0.1789,0.8175,0.6279,0.9488,focused_or_low_friction,synthetic_bootstrap
syn_00075,bootstrap_user_03,deep_work,deep_work_015,1453.4,0.722,0.0846,0.1379,0.0884,190.2,0.0415,0.8081,0.6635,1,0.3288,True,0.1529,0.7945,0.3012,0.5951,focused_or_low_friction,synthetic_bootstrap
syn_00076,bootstrap_user_04,repetitive_admin,repetitive_admin_016,338.8,3.772,0.1425,0.8239,0.1085,456.5,0.047,0.762,0.3864,5,0.8097,True,0.2361,0.7176,0.5995,0.8386,focused_or_low_friction,synthetic_bootstrap
syn_00077,bootstrap_user_05,repetitive_admin,repetitive_admin_017,405.9,0.985,0.1068,0.7011,0.0736,564.1,0.0135,0.6658,0.0188,6,0.8283,True,0.1996,0.9023,0.6009,0.9098,focused_or_low_friction,synthetic_bootstrap
syn_00078,bootstrap_user_06,coding_debugging,coding_debugging_018,933.2,3.124,0.2778,0.1582,0.1284,665.3,0.1377,0.8604,0.7262,1,0.2541,True,0.2571,0.6267,0.3217,0.5689,focused_or_low_friction,synthetic_bootstrap
syn_00079,bootstrap_user_07,support_lookup,support_lookup_019,303.6,4.036,0.2252,0.6422,0.0711,853.1,0.0494,0.7376,0.094,10,0.9369,True,0.3113,0.766,0.6616,0.9729,moderate_friction,synthetic_bootstrap
syn_00080,bootstrap_user_08,coding_debugging,coding_debugging_020,1346.2,1.472,0.213,0.3527,0.3975,596.3,0.0633,0.539,0.7933,1,0.4699,True,0.3587,0.6928,0.3841,0.6148,moderate_friction,synthetic_bootstrap
syn_00081,bootstrap_user_09,coding_debugging,coding_debugging_021,1003.8,1.32,0.3919,0.1633,0.335,761.5,0.0474,0.543,0.8583,3,0.2787,True,0.3646,0.7326,0.3289,0.6042,moderate_friction,synthetic_bootstrap
syn_00082,bootstrap_user_10,support_lookup,support_lookup_022,221.9,6.004,0.0327,0.6323,0.2097,499.1,0.008,0.6204,0.52,8,0.7061,True,0.2745,0.6844,0.6099,0.8641,focused_or_low_friction,synthetic_bootstrap
syn_00083,bootstrap_user_11,coding_debugging,coding_debugging_023,1573.6,2.61,0.1335,0.1072,0.3533,430.2,0.0887,0.6435,0.6062,1,0.4068,True,0.3679,0.6844,0.3419,0.6215,moderate_friction,synthetic_bootstrap
syn_00084,bootstrap_user_12,deep_work,deep_work_024,1426.9,0.318,0.0545,0.1828,0.1068,80.0,0.0486,0.9164,0.6879,0,0.6327,True,0.1128,0.8278,0.3403,0.6456,focused_or_low_friction,synthetic_bootstrap
syn_00085,bootstrap_user_01,deep_work,deep_work_025,1436.2,1.755,0.1302,0.2158,0.1188,269.4,0.1311,0.7525,0.7083,0,0.1051,True,0.1854,0.6195,0.2686,0.5113,focused_or_low_friction,synthetic_bootstrap
syn_00086,bootstrap_user_02,deep_work,deep_work_026,2860.0,1.425,0.0671,0.1507,0.1344,652.0,0.0663,0.8227,0.7101,2,0.334,True,0.2585,0.7782,0.3469,0.6133,focused_or_low_friction,synthetic_bootstrap
syn_00087,bootstrap_user_03,coding_debugging,coding_debugging_027,1314.8,3.747,0.2375,0.4023,0.3543,1630.5,0.0404,0.5342,0.7619,3,0.693,True,0.4859,0.6567,0.5234,0.7193,high_friction,synthetic_bootstrap
syn_00088,bootstrap_user_04,support_lookup,support_lookup_028,163.9,5.989,0.2783,0.6979,0.1202,560.7,0.0576,0.7241,0.3634,4,0.6851,False,0.3004,0.644,0.5323,0.7877,moderate_friction,synthetic_bootstrap
syn_00089,bootstrap_user_05,deep_work,deep_work_029,2050.4,0.518,0.1533,0.1286,0.0683,536.8,0.0065,0.7568,0.7781,0,0.4841,True,0.1901,0.8079,0.3237,0.5977,focused_or_low_friction,synthetic_bootstrap
syn_00090,bootstrap_user_06,support_lookup,support_lookup_030,213.3,5.341,0.1263,0.5579,0.07,581.7,0.0947,0.6416,0.2202,3,0.8295,True,0.2903,0.6419,0.5369,0.8184,focused_or_low_friction,synthetic_bootstrap
syn_00091,bootstrap_user_07,deep_work,deep_work_031,1680.3,0.63,0.0321,0.2627,0.0,593.6,0.0615,0.7872,0.8492,1,0.2684,True,0.1851,0.7449,0.2487,0.5577,focused_or_low_friction,synthetic_bootstrap
syn_00092,bootstrap_user_08,coding_debugging,coding_debugging_032,710.4,3.353,0.2882,0.2851,0.2739,608.5,0.1839,0.5893,0.6757,4,0.3189,False,0.358,0.5222,0.3864,0.6586,moderate_friction,synthetic_bootstrap
syn_00093,bootstrap_user_09,support_lookup,support_lookup_033,469.2,4.703,0.0,0.6624,0.1119,527.8,0.0674,0.6571,0.3542,8,0.7358,True,0.3955,0.676,0.6232,0.8914,moderate_friction,synthetic_bootstrap
syn_00094,bootstrap_user_10,repetitive_admin,repetitive_admin_034,195.7,3.316,0.064,0.6669,0.1218,441.4,0.0671,0.5806,0.4637,3,0.9823,True,0.2425,0.6745,0.5433,0.8274,focused_or_low_friction,synthetic_bootstrap
syn_00095,bootstrap_user_11,repetitive_admin,repetitive_admin_035,349.4,3.229,0.105,0.4754,0.1249,369.5,0.0355,0.6896,0.3158,4,0.6796,True,0.2218,0.758,0.4446,0.792,focused_or_low_friction,synthetic_bootstrap
syn_00096,bootstrap_user_12,coding_debugging,coding_debugging_036,1140.0,0.882,0.167,0.1649,0.3844,685.7,0.0776,0.825,0.7552,3,0.3682,True,0.2368,0.7566,0.3599,0.6389,focused_or_low_friction,synthetic_bootstrap
syn_00097,bootstrap_user_01,repetitive_admin,repetitive_admin_037,393.1,3.063,0.1642,0.5334,0.0564,232.3,0.1031,0.8188,0.0597,2,0.8494,True,0.1521,0.7948,0.5241,0.8202,focused_or_low_friction,synthetic_bootstrap
syn_00098,bootstrap_user_02,deep_work,deep_work_038,2037.4,0.489,0.1161,0.1196,0.0758,560.0,0.0148,0.9478,0.6982,3,0.2209,True,0.135,0.8502,0.2887,0.6089,focused_or_low_friction,synthetic_bootstrap
syn_00099,bootstrap_user_03,deep_work,deep_work_039,1567.8,0.344,0.0167,0.1461,0.0667,326.6,0.1419,0.8134,0.807,1,0.3794,True,0.1206,0.7248,0.2845,0.5905,focused_or_low_friction,synthetic_bootstrap
syn_00100,bootstrap_user_04,research_browsing,research_browsing_040,1723.2,2.173,0.2052,0.1107,0.1618,718.5,0.1284,0.743,0.8925,3,0.1294,True,0.3202,0.6274,0.2754,0.5627,moderate_friction,synthetic_bootstrap
syn_00101,bootstrap_user_05,research_browsing,research_browsing_041,654.7,2.792,0.0855,0.1757,0.0172,766.3,0.1289,0.809,0.8678,1,0.3982,True,0.2221,0.6307,0.2267,0.5879,focused_or_low_friction,synthetic_bootstrap
syn_00102,bootstrap_user_06,coding_debugging,coding_debugging_042,1083.3,1.282,0.2911,0.1322,0.3424,785.0,0.17,0.6107,0.6431,2,0.2318,True,0.3861,0.6504,0.2904,0.5958,moderate_friction,synthetic_bootstrap
syn_00103,bootstrap_user_07,repetitive_admin,repetitive_admin_043,379.8,2.624,0.1327,0.7658,0.0779,521.2,0.0315,0.8288,0.3338,8,0.8348,True,0.1757,0.8077,0.6154,0.9186,focused_or_low_friction,synthetic_bootstrap
syn_00104,bootstrap_user_08,research_browsing,research_browsing_044,2242.8,3.976,0.1589,0.221,0.1129,536.3,0.1479,0.6267,0.8173,2,0.3517,True,0.3936,0.5269,0.3961,0.6049,moderate_friction,synthetic_bootstrap
syn_00105,bootstrap_user_09,coding_debugging,coding_debugging_045,627.3,2.585,0.2448,0.416,0.2097,588.8,0.0515,0.6456,0.5827,2,0.1187,True,0.2571,0.671,0.3497,0.5747,focused_or_low_friction,synthetic_bootstrap
syn_00106,bootstrap_user_10,coding_debugging,coding_debugging_046,511.5,2.917,0.2029,0.4002,0.375,517.9,0.0541,0.6766,0.6938,2,0.5981,True,0.2922,0.7017,0.4319,0.6813,focused_or_low_friction,synthetic_bootstrap
syn_00107,bootstrap_user_11,support_lookup,support_lookup_047,244.0,3.953,0.0409,0.4827,0.1259,495.2,0.0622,0.7639,0.2294,6,0.8089,True,0.2598,0.7676,0.5399,0.8797,focused_or_low_friction,synthetic_bootstrap
syn_00108,bootstrap_user_12,repetitive_admin,repetitive_admin_048,689.1,1.701,0.1195,0.764,0.0434,419.1,0.0168,0.8022,0.3858,9,0.7118,True,0.2407,0.8307,0.5835,0.8817,focused_or_low_friction,synthetic_bootstrap
syn_00109,bootstrap_user_01,deep_work,deep_work_049,2421.4,0.861,0.039,0.2296,0.0561,326.1,0.0943,0.9625,0.8424,2,0.4055,True,0.1432,0.7602,0.3128,0.6153,focused_or_low_friction,synthetic_bootstrap
syn_00110,bootstrap_user_02,research_browsing,research_browsing_050,1509.2,2.75,0.2651,0.1894,0.0,689.4,0.1421,0.6335,0.7918,4,0.3374,True,0.3638,0.5797,0.3333,0.6493,moderate_friction,synthetic_bootstrap
syn_00111,bootstrap_user_03,support_lookup,support_lookup_051,45.0,3.727,0.2409,0.5741,0.1501,546.8,0.0986,0.6305,0.4114,8,0.9402,True,0.2691,0.6639,0.6089,0.9357,focused_or_low_friction,synthetic_bootstrap
syn_00112,bootstrap_user_04,repetitive_admin,repetitive_admin_052,456.0,2.907,0.1654,0.8242,0.0656,422.9,0.0854,0.9101,0.3543,8,0.8557,True,0.2119,0.7534,0.6384,0.9214,focused_or_low_friction,synthetic_bootstrap
syn_00113,bootstrap_user_05,repetitive_admin,repetitive_admin_053,614.6,2.06,0.0941,0.7317,0.1596,325.1,0.03,0.6904,0.4459,0,0.7798,True,0.2615,0.7591,0.5167,0.7114,focused_or_low_friction,synthetic_bootstrap
